
Scroll up;scrollup
Previous;previous
Zoom out;zoomout
Minimize;minimize
Select;select
Forward;forward
Close;close
Maximize;maximize
Increase volume;increasevolume
Accept;accept
Scroll down;scrolldown
Next;next
Reject;reject
Switch task/window;switchtask
Pause;pause
Accept call;acceptcall
Open;open
Emergency call;emergency
Play;play
Shuffle;shuffle
Rewind;rewind
Navigate;navigate
Decrease volume;decreasevolume
Reject call;rejectcallphone
Zoom in;zoomin
