
Rewind;rewind
Close;close
Minimize;minimize
Scroll down;scrolldown
Play;play
Zoom out;zoomout
Maximize;maximize
Switch task/window;switchtask
Select;select
Reject;reject
Open;open
Scroll up;scrollup
Forward;forward
Accept;accept
Increase volume;increasevolume
Decrease volume;decreasevolume
Previous;previous
Zoom in;zoomin
Shuffle;shuffle
Accept call;acceptcall
Pause;pause
Emergency call;emergency
Reject call;rejectcallphone
Next;next
Navigate;navigate
