
Reject call;rejectcallphone
Open;open
Next;next
Rewind;rewind
Accept call;acceptcall
Minimize;minimize
Switch task/window;switchtask
Accept;accept
Zoom out;zoomout
Select;select
Scroll down;scrolldown
Play;play
Pause;pause
Navigate;navigate
Previous;previous
Scroll up;scrollup
Shuffle;shuffle
Increase volume;increasevolume
Maximize;maximize
Zoom in;zoomin
Decrease volume;decreasevolume
Reject;reject
Forward;forward
Close;close
Emergency call;emergency
