
Select;select
Decrease volume;decreasevolume
Previous;previous
Play;play
Maximize;maximize
Scroll up;scrollup
Accept call;acceptcall
Next;next
Minimize;minimize
Accept;accept
Emergency call;emergency
Reject call;rejectcallphone
Close;close
Zoom out;zoomout
Reject;reject
Zoom in;zoomin
Scroll down;scrolldown
Pause;pause
Shuffle;shuffle
Open;open
Rewind;rewind
Forward;forward
Increase volume;increasevolume
Switch task/window;switchtask
Navigate;navigate
