
Next;next
Zoom in;zoomin
Shuffle;shuffle
Decrease volume;decreasevolume
Reject call;rejectcallphone
Rewind;rewind
Navigate;navigate
Pause;pause
Play;play
Scroll up;scrollup
Select;select
Accept;accept
Minimize;minimize
Switch task/window;switchtask
Scroll down;scrolldown
Zoom out;zoomout
Emergency call;emergency
Open;open
Accept call;acceptcall
Reject;reject
Increase volume;increasevolume
Close;close
Forward;forward
Maximize;maximize
Previous;previous
