
Previous;previous
Scroll up;scrollup
Accept;accept
Shuffle;shuffle
Switch task/window;switchtask
Zoom out;zoomout
Increase volume;increasevolume
Zoom in;zoomin
Play;play
Decrease volume;decreasevolume
Minimize;minimize
Next;next
Accept call;acceptcall
Forward;forward
Close;close
Select;select
Pause;pause
Emergency call;emergency
Rewind;rewind
Reject call;rejectcallphone
Reject;reject
Maximize;maximize
Scroll down;scrolldown
Open;open
Navigate;navigate
