
Switch task/window;switchtask
Play;play
Emergency call;emergency
Minimize;minimize
Decrease volume;decreasevolume
Scroll down;scrolldown
Zoom out;zoomout
Shuffle;shuffle
Scroll up;scrollup
Rewind;rewind
Pause;pause
Increase volume;increasevolume
Close;close
Forward;forward
Accept;accept
Reject call;rejectcallphone
Reject;reject
Previous;previous
Open;open
Select;select
Maximize;maximize
Navigate;navigate
Next;next
Zoom in;zoomin
Accept call;acceptcall
