
Pause;pause
Previous;previous
Select;select
Forward;forward
Maximize;maximize
Accept call;acceptcall
Increase volume;increasevolume
Reject;reject
Switch task/window;switchtask
Close;close
Reject call;rejectcallphone
Play;play
Shuffle;shuffle
Open;open
Decrease volume;decreasevolume
Minimize;minimize
Navigate;navigate
Emergency call;emergency
Zoom out;zoomout
Rewind;rewind
Scroll down;scrolldown
Zoom in;zoomin
Scroll up;scrollup
Accept;accept
Next;next
