
Previous;previous
Maximize;maximize
Close;close
Reject call;rejectcallphone
Reject;reject
Scroll down;scrolldown
Emergency call;emergency
Play;play
Select;select
Zoom out;zoomout
Scroll up;scrollup
Minimize;minimize
Switch task/window;switchtask
Navigate;navigate
Open;open
Shuffle;shuffle
Zoom in;zoomin
Next;next
Decrease volume;decreasevolume
Rewind;rewind
Accept call;acceptcall
Increase volume;increasevolume
Pause;pause
Forward;forward
Accept;accept
