
Increase volume;increasevolume
Navigate;navigate
Switch task/window;switchtask
Maximize;maximize
Reject;reject
Accept call;acceptcall
Zoom in;zoomin
Decrease volume;decreasevolume
Reject call;rejectcallphone
Select;select
Accept;accept
Play;play
Shuffle;shuffle
Scroll up;scrollup
Emergency call;emergency
Next;next
Forward;forward
Rewind;rewind
Open;open
Scroll down;scrolldown
Close;close
Pause;pause
Minimize;minimize
Zoom out;zoomout
Previous;previous
