
Reject call;rejectcallphone
Select;select
Emergency call;emergency
Next;next
Close;close
Accept;accept
Increase volume;increasevolume
Decrease volume;decreasevolume
Scroll down;scrolldown
Minimize;minimize
Pause;pause
Zoom in;zoomin
Switch task/window;switchtask
Navigate;navigate
Zoom out;zoomout
Accept call;acceptcall
Open;open
Shuffle;shuffle
Scroll up;scrollup
Previous;previous
Forward;forward
Play;play
Rewind;rewind
Reject;reject
Maximize;maximize
