
Accept;accept
Maximize;maximize
Reject;reject
Next;next
Decrease volume;decreasevolume
Pause;pause
Navigate;navigate
Rewind;rewind
Open;open
Scroll up;scrollup
Minimize;minimize
Scroll down;scrolldown
Zoom out;zoomout
Forward;forward
Shuffle;shuffle
Play;play
Switch task/window;switchtask
Select;select
Previous;previous
Increase volume;increasevolume
Accept call;acceptcall
Reject call;rejectcallphone
Emergency call;emergency
Zoom in;zoomin
Close;close
