
Scroll up;scrollup
Navigate;navigate
Shuffle;shuffle
Rewind;rewind
Select;select
Zoom out;zoomout
Emergency call;emergency
Accept call;acceptcall
Increase volume;increasevolume
Close;close
Next;next
Forward;forward
Reject;reject
Switch task/window;switchtask
Play;play
Accept;accept
Decrease volume;decreasevolume
Open;open
Zoom in;zoomin
Previous;previous
Pause;pause
Scroll down;scrolldown
Reject call;rejectcallphone
Minimize;minimize
Maximize;maximize
