
Maximize;maximize
Switch task/window;switchtask
Shuffle;shuffle
Previous;previous
Emergency call;emergency
Scroll down;scrolldown
Reject;reject
Minimize;minimize
Open;open
Next;next
Navigate;navigate
Forward;forward
Rewind;rewind
Increase volume;increasevolume
Scroll up;scrollup
Accept;accept
Select;select
Reject call;rejectcallphone
Zoom out;zoomout
Pause;pause
Zoom in;zoomin
Play;play
Decrease volume;decreasevolume
Accept call;acceptcall
Close;close
