
Rewind;rewind
Increase volume;increasevolume
Scroll up;scrollup
Play;play
Navigate;navigate
Previous;previous
Minimize;minimize
Emergency call;emergency
Switch task/window;switchtask
Open;open
Shuffle;shuffle
Pause;pause
Forward;forward
Select;select
Zoom in;zoomin
Scroll down;scrolldown
Close;close
Maximize;maximize
Decrease volume;decreasevolume
Reject;reject
Accept call;acceptcall
Accept;accept
Zoom out;zoomout
Next;next
Reject call;rejectcallphone
