
Pause;pause
Zoom in;zoomin
Select;select
Accept;accept
Shuffle;shuffle
Reject call;rejectcallphone
Scroll up;scrollup
Increase volume;increasevolume
Open;open
Reject;reject
Close;close
Accept call;acceptcall
Next;next
Decrease volume;decreasevolume
Switch task/window;switchtask
Zoom out;zoomout
Play;play
Navigate;navigate
Emergency call;emergency
Minimize;minimize
Scroll down;scrolldown
Forward;forward
Rewind;rewind
Previous;previous
Maximize;maximize
