
Minimize;minimize
Select;select
Scroll down;scrolldown
Previous;previous
Next;next
Rewind;rewind
Play;play
Navigate;navigate
Decrease volume;decreasevolume
Accept;accept
Maximize;maximize
Scroll up;scrollup
Emergency call;emergency
Open;open
Reject;reject
Increase volume;increasevolume
Pause;pause
Forward;forward
Zoom out;zoomout
Zoom in;zoomin
Reject call;rejectcallphone
Close;close
Switch task/window;switchtask
Accept call;acceptcall
Shuffle;shuffle
