
Play;play
Reject call;rejectcallphone
Emergency call;emergency
Accept;accept
Switch task/window;switchtask
Accept call;acceptcall
Maximize;maximize
Previous;previous
Forward;forward
Pause;pause
Rewind;rewind
Next;next
Scroll down;scrolldown
Decrease volume;decreasevolume
Navigate;navigate
Increase volume;increasevolume
Select;select
Zoom out;zoomout
Reject;reject
Close;close
Shuffle;shuffle
Minimize;minimize
Open;open
Scroll up;scrollup
Zoom in;zoomin
