
Forward;forward
Scroll up;scrollup
Increase volume;increasevolume
Rewind;rewind
Reject call;rejectcallphone
Reject;reject
Close;close
Accept;accept
Zoom out;zoomout
Open;open
Select;select
Scroll down;scrolldown
Pause;pause
Shuffle;shuffle
Emergency call;emergency
Previous;previous
Zoom in;zoomin
Maximize;maximize
Switch task/window;switchtask
Play;play
Decrease volume;decreasevolume
Next;next
Navigate;navigate
Minimize;minimize
Accept call;acceptcall
