
Accept call;acceptcall
Minimize;minimize
Reject call;rejectcallphone
Select;select
Navigate;navigate
Maximize;maximize
Decrease volume;decreasevolume
Scroll down;scrolldown
Scroll up;scrollup
Open;open
Zoom in;zoomin
Increase volume;increasevolume
Switch task/window;switchtask
Pause;pause
Close;close
Play;play
Rewind;rewind
Accept;accept
Zoom out;zoomout
Previous;previous
Emergency call;emergency
Shuffle;shuffle
Reject;reject
Next;next
Forward;forward
