
Next;next
Forward;forward
Accept call;acceptcall
Increase volume;increasevolume
Accept;accept
Reject call;rejectcallphone
Scroll down;scrolldown
Reject;reject
Zoom out;zoomout
Pause;pause
Previous;previous
Scroll up;scrollup
Open;open
Play;play
Minimize;minimize
Navigate;navigate
Decrease volume;decreasevolume
Select;select
Close;close
Switch task/window;switchtask
Maximize;maximize
Zoom in;zoomin
Shuffle;shuffle
Rewind;rewind
Emergency call;emergency
