
Rewind;rewind
Switch task/window;switchtask
Forward;forward
Accept;accept
Maximize;maximize
Decrease volume;decreasevolume
Pause;pause
Scroll up;scrollup
Close;close
Next;next
Zoom in;zoomin
Emergency call;emergency
Select;select
Increase volume;increasevolume
Scroll down;scrolldown
Previous;previous
Reject;reject
Reject call;rejectcallphone
Shuffle;shuffle
Open;open
Minimize;minimize
Play;play
Accept call;acceptcall
Zoom out;zoomout
Navigate;navigate
