
Shuffle;shuffle
Emergency call;emergency
Increase volume;increasevolume
Select;select
Open;open
Zoom out;zoomout
Switch task/window;switchtask
Maximize;maximize
Scroll up;scrollup
Pause;pause
Minimize;minimize
Rewind;rewind
Reject call;rejectcallphone
Next;next
Previous;previous
Decrease volume;decreasevolume
Scroll down;scrolldown
Forward;forward
Close;close
Reject;reject
Play;play
Accept call;acceptcall
Accept;accept
Navigate;navigate
Zoom in;zoomin
