
Close;close
Play;play
Scroll up;scrollup
Shuffle;shuffle
Zoom out;zoomout
Switch task/window;switchtask
Forward;forward
Pause;pause
Next;next
Select;select
Navigate;navigate
Zoom in;zoomin
Accept;accept
Rewind;rewind
Increase volume;increasevolume
Minimize;minimize
Previous;previous
Reject;reject
Maximize;maximize
Reject call;rejectcallphone
Open;open
Emergency call;emergency
Accept call;acceptcall
Scroll down;scrolldown
Decrease volume;decreasevolume
