
Accept call;acceptcall
Navigate;navigate
Minimize;minimize
Rewind;rewind
Play;play
Close;close
Pause;pause
Increase volume;increasevolume
Scroll up;scrollup
Maximize;maximize
Forward;forward
Zoom in;zoomin
Next;next
Open;open
Accept;accept
Zoom out;zoomout
Select;select
Scroll down;scrolldown
Previous;previous
Reject;reject
Shuffle;shuffle
Switch task/window;switchtask
Decrease volume;decreasevolume
Emergency call;emergency
Reject call;rejectcallphone
