
Decrease volume;decreasevolume
Select;select
Zoom out;zoomout
Next;next
Reject;reject
Zoom in;zoomin
Play;play
Accept call;acceptcall
Maximize;maximize
Emergency call;emergency
Scroll down;scrolldown
Close;close
Increase volume;increasevolume
Open;open
Navigate;navigate
Shuffle;shuffle
Minimize;minimize
Rewind;rewind
Scroll up;scrollup
Reject call;rejectcallphone
Accept;accept
Previous;previous
Switch task/window;switchtask
Forward;forward
Pause;pause
