
Scroll up;scrollup
Pause;pause
Select;select
Play;play
Navigate;navigate
Accept call;acceptcall
Accept;accept
Open;open
Increase volume;increasevolume
Shuffle;shuffle
Maximize;maximize
Minimize;minimize
Previous;previous
Emergency call;emergency
Scroll down;scrolldown
Rewind;rewind
Forward;forward
Decrease volume;decreasevolume
Zoom out;zoomout
Reject call;rejectcallphone
Zoom in;zoomin
Reject;reject
Next;next
Switch task/window;switchtask
Close;close
