
Shuffle;shuffle
Forward;forward
Reject call;rejectcallphone
Open;open
Play;play
Scroll up;scrollup
Decrease volume;decreasevolume
Zoom in;zoomin
Pause;pause
Navigate;navigate
Reject;reject
Switch task/window;switchtask
Next;next
Accept call;acceptcall
Previous;previous
Increase volume;increasevolume
Zoom out;zoomout
Minimize;minimize
Rewind;rewind
Scroll down;scrolldown
Select;select
Maximize;maximize
Close;close
Emergency call;emergency
Accept;accept
