
Increase volume;increasevolume
Scroll down;scrolldown
Switch task/window;switchtask
Close;close
Maximize;maximize
Reject call;rejectcallphone
Forward;forward
Zoom out;zoomout
Open;open
Accept;accept
Select;select
Next;next
Shuffle;shuffle
Pause;pause
Emergency call;emergency
Rewind;rewind
Accept call;acceptcall
Play;play
Navigate;navigate
Scroll up;scrollup
Previous;previous
Zoom in;zoomin
Reject;reject
Decrease volume;decreasevolume
Minimize;minimize
