
Reject call;rejectcallphone
Previous;previous
Rewind;rewind
Forward;forward
Close;close
Accept call;acceptcall
Select;select
Scroll down;scrolldown
Decrease volume;decreasevolume
Pause;pause
Minimize;minimize
Next;next
Increase volume;increasevolume
Accept;accept
Play;play
Open;open
Navigate;navigate
Zoom in;zoomin
Reject;reject
Scroll up;scrollup
Emergency call;emergency
Shuffle;shuffle
Maximize;maximize
Switch task/window;switchtask
Zoom out;zoomout
