
Reject call;rejectcallphone
Pause;pause
Select;select
Accept call;acceptcall
Scroll down;scrolldown
Emergency call;emergency
Maximize;maximize
Zoom out;zoomout
Decrease volume;decreasevolume
Reject;reject
Previous;previous
Scroll up;scrollup
Switch task/window;switchtask
Accept;accept
Forward;forward
Navigate;navigate
Zoom in;zoomin
Close;close
Shuffle;shuffle
Open;open
Increase volume;increasevolume
Play;play
Rewind;rewind
Next;next
Minimize;minimize
