
Play;play
Close;close
Minimize;minimize
Reject;reject
Zoom in;zoomin
Next;next
Decrease volume;decreasevolume
Forward;forward
Increase volume;increasevolume
Zoom out;zoomout
Select;select
Accept call;acceptcall
Scroll up;scrollup
Scroll down;scrolldown
Accept;accept
Reject call;rejectcallphone
Navigate;navigate
Pause;pause
Previous;previous
Emergency call;emergency
Rewind;rewind
Open;open
Shuffle;shuffle
Switch task/window;switchtask
Maximize;maximize
