
Select;select
Next;next
Previous;previous
Rewind;rewind
Forward;forward
Play;play
Zoom in;zoomin
Accept call;acceptcall
Shuffle;shuffle
Scroll up;scrollup
Open;open
Minimize;minimize
Decrease volume;decreasevolume
Pause;pause
Increase volume;increasevolume
Maximize;maximize
Reject call;rejectcallphone
Reject;reject
Emergency call;emergency
Zoom out;zoomout
Scroll down;scrolldown
Close;close
Switch task/window;switchtask
Accept;accept
Navigate;navigate
