
Previous;previous
Accept call;acceptcall
Reject call;rejectcall
Increase volume;increasevolume
Reject;reject
Select;select
Rewind;rewind
Mute;mute
Maximize;maximize
Scroll down;scrolldown
Next;next
Emergency call;emergency
Minimize;minimize
Switch task/window;switchtask
Decrease volume;decreasevolume
Open;open
Zoom out;zoomout
Zoom in;zoomin
Close;close
Play;play
Pause;pause
Accept;accept
Navigate;navigate
Forward;forward
Shuffle;shuffle
Scroll up;scrollup
