
Accept;accept
Maximize;maximize
Navigate;navigate
Pause;pause
Select;select
Increase volume;increasevolume
Reject call;rejectcallphone
Scroll down;scrolldown
Shuffle;shuffle
Open;open
Decrease volume;decreasevolume
Minimize;minimize
Forward;forward
Emergency call;emergency
Rewind;rewind
Play;play
Next;next
Accept call;acceptcall
Close;close
Switch task/window;switchtask
Zoom out;zoomout
Previous;previous
Zoom in;zoomin
Reject;reject
Scroll up;scrollup
