;;;; Select;;;;; Navigate;;;;; Open;;;;; Minimize;;;;; Maximize;;;;; Close;;;;; Zoom in;;;;; Zoom out;;;;; Next;;;;; Previous;;;;; Switch task/window;;;;; Scroll up;;;;; Scroll down;;;;; Accept;;;;; Reject;;;;; Accept call;;;;; Reject call;;;;; Mute;;;;; Emergency call;;;;; Increase volume;;;;; Decrease volume;;;;; Shuffle;;;;; Play;;;;; Pause;;;;; Rewind;;;;; Forward;;;;;
p1; DTES;27;2; Select;7;6;6;2; Navigate;7;6;7;4; Open;7;7;7;2; Minimize;7;7;7;1; Maximize;6;6;7;1; Close;7;7;7;1; Zoom in;6;5;7;2; Zoom out;6;5;7;2; Next;7;7;7;1; Previous;7;7;7;1; Switch task/window;6;6;7;2; Scroll up;6;7;7;1; Scroll down;7;6;7;1; Accept;7;6;7;1; Reject;7;7;7;1; Accept call;7;7;7;1; Reject call;7;7;7;1; Mute;6;6;7;1; Emergency call;7;7;7;1; Increase volume;5;7;6;1; Decrease volume;5;7;7;1; Shuffle;7;7;7;1; Play;7;7;7;1; Pause;7;7;7;1; Rewind;7;7;7;1; Forward;7;7;7;1; 
p1_innovative;;;; Select;7;7;7;2; Navigate;7;7;7;2; Open;7;0;7;1; Minimize;7;7;7;1; Maximize;7;6;7;2; Close;7;7;7;2; Zoom in;7;5;7;2; Zoom out;7;5;7;2; ;7;5;6;1; ;6;4;5;1; ;7;6;7;2; ;6;6;7;1; ;7;6;7;1; ;7;7;7;1; ;7;7;7;1; ;7;7;7;1; ;7;7;7;1; ;7;5;7;2; ;6;4;6;4; ;6;5;7;2; ;5;4;6;3; ;5;4;6;4; ;7;7;6;1; ;7;7;7;1; ;6;5;7;2; ;6;5;7;3; 
