Accept;accept
Accept call;acceptcall
Close;close
Decrease volume;decreasevolume
Emergency call;emergency
Forward;forward
Increase volume;increasevolume
Maximize;maximize
Minimize;minimize
Mute;mute
Navigate;navigate
Next;next
Open;open
Pause;pause
Play;play
Previous;previous
Reject;reject
Reject call;rejectcallphone
Rewind;rewind
Scroll down;scrolldown
Scroll up;scrollup
Select;select
Shuffle;shuffle
Switch task/window;switchtask
Zoom in;zoomin
Zoom out;zoomout
