p14;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p14_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
P15;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
P15_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p16;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p16_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p17;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p17_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p18;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p18_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p19;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p19_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p20;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p20_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p21;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p21_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p22;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p22_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p23;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
p23_innovative;accept|,acceptcall|,close|,decreasevolume|,emergency|,forward|,increasevolume|,maximize|,minimize|,mute|,navigate|,next|,open|,pause|,play|,previous|,reject|,rejectcallphone|,rewind|,scrolldown|,scrollup|,select|,shuffle|,switchtask|,zoomin|,zoomout|
