select;p04;innovative;outer
select;p04;innovative;lower
select;p04;innovative;finger
select;p04;innovative;mixedpose
select;p04;innovative;nondefault
select;p04;innovative;stationary
select;p04;innovative;abstract
select;p04;innovative;handspecific
select;p04;innovative;discrete
select;p04;innovative;diverse
select;p04;innovative;inner
select;p04;innovative;worldindep
select;p05;innovative;inner
select;p05;innovative;lower
select;p05;innovative;finger
select;p05;innovative;staticpose
select;p05;innovative;motion
select;p05;innovative;repetitive
select;p05;innovative;2d
select;p05;innovative;interhand
select;p05;innovative;onehand
select;p05;innovative;metaphorical
select;p05;innovative;worldindep
select;p05;innovative;transfer
select;p05;innovative;discrete
select;p05;innovative;diverse
select;p05;innovative;nondefault
select;p06;innovative;inner
select;p06;innovative;lower
select;p06;innovative;finger
select;p06;innovative;staticpose
select;p06;innovative;abstract
select;p06;innovative;discrete
select;p06;innovative;diverse
select;p06;innovative;motion
select;p06;innovative;2d
select;p06;innovative;nonrepeat
select;p06;innovative;interhand
select;p06;innovative;onehand
select;p06;innovative;transfer
select;p06;innovative;screendep
select;p06;innovative;nondefault
select;P07;innovative;outer
select;P07;innovative;finger
select;P07;innovative;staticpose
select;P07;innovative;nondefault
select;P07;innovative;abstract
select;P07;innovative;worldindep
select;P07;innovative;handspecific
select;P07;innovative;discrete
select;P07;innovative;stationary
select;P07;innovative;inner
select;P07;innovative;diverse
select;p08;innovative;inner
select;p08;innovative;outer
select;p08;innovative;lower
select;p08;innovative;finger
select;p08;innovative;stationary
select;p08;innovative;abstract
select;p08;innovative;worldindep
select;p08;innovative;handspecific
select;p08;innovative;discrete
select;p08;innovative;mirror
select;p08;innovative;mixedpose
select;p08;innovative;nondefault
select;p09;innovative;inner
select;p09;innovative;lower
select;p09;innovative;finger
select;p09;innovative;staticpose
select;p09;innovative;motion
select;p09;innovative;direction
select;p09;innovative;3d
select;p09;innovative;intrahand
select;p09;innovative;twohands
select;p09;innovative;abstract
select;p09;innovative;3dworlddep
select;p09;innovative;handspecific
select;p09;innovative;discrete
select;p09;innovative;mirror
select;p10;innovative;inner
select;p10;innovative;outer
select;p10;innovative;lower
select;p10;innovative;finger
select;p10;innovative;staticpose
select;p10;innovative;nondefault
select;p10;innovative;abstract
select;p10;innovative;worldindep
select;p10;innovative;handspecific
select;p10;innovative;discrete
select;p10;innovative;mirror
select;p10;innovative;stationary
select;p11;innovative;inner
select;p11;innovative;lower
select;p11;innovative;finger
select;p11;innovative;staticpose
select;p11;innovative;motion
select;p11;innovative;2d
select;p11;innovative;interhand
select;p11;innovative;twohands
select;p11;innovative;worldindep
select;p11;innovative;discrete
select;p11;innovative;mirror
select;p11;innovative;transfer
select;p11;innovative;metaphorical
select;P12;innovative;inner
select;P12;innovative;outer
select;P12;innovative;lower
select;P12;innovative;finger
select;P12;innovative;mixedpose
select;P12;innovative;nondefault
select;P12;innovative;motion
select;P12;innovative;3d
select;P12;innovative;intrahand
select;P12;innovative;onehand
select;P12;innovative;abstract
select;P12;innovative;worldindep
select;P12;innovative;handspecific
select;P12;innovative;discrete
select;P12;innovative;diverse
select;p13;innovative;inner
select;p13;innovative;outer
select;p13;innovative;lower
select;p13;innovative;finger
select;p13;innovative;staticpose
select;p13;innovative;motion
select;p13;innovative;3d
select;p13;innovative;twohands
select;p13;innovative;abstract
select;p13;innovative;worldindep
select;p13;innovative;handspecific
select;p13;innovative;discrete
select;p13;innovative;mirror
select;p13;innovative;interhand
select;P15;innovative;inner
select;P15;innovative;outer
select;P15;innovative;finger
select;P15;innovative;stationary
select;P15;innovative;metaphorical
select;P15;innovative;worldindep
select;P15;innovative;discrete
select;P15;innovative;diverse
select;P15;innovative;staticpose
select;P15;innovative;nondefault
select;P15;innovative;transfer
select;p16;innovative;inner
select;p16;innovative;outer
select;p16;innovative;finger
select;p16;innovative;motion
select;p16;innovative;interhand
select;p16;innovative;2d
select;p16;innovative;abstract
select;p16;innovative;handdep
select;p16;innovative;handspecific
select;p16;innovative;discrete
select;p16;innovative;diverse
select;p16;innovative;mixedpose
select;p16;innovative;nondefault
select;p16;innovative;onehand
select;p17;innovative;inner
select;p17;innovative;finger
select;p17;innovative;staticpose
select;p17;innovative;nondefault
select;p17;innovative;metaphorical
select;p17;innovative;worldindep
select;p17;innovative;handspecific
select;p17;innovative;discrete
select;p17;innovative;mirror
select;p17;innovative;motion
select;p17;innovative;2d
select;p17;innovative;inter
select;p17;innovative;twohands
select;p18;innovative;inner
select;p18;innovative;lower
select;p18;innovative;finger
select;p18;innovative;staticpose
select;p18;innovative;stationary
select;p18;innovative;metaphorical
select;p18;innovative;worldindep
select;p18;innovative;discrete
select;p18;innovative;transfer
select;p18;innovative;diverse
select;p19;innovative;inner
select;p19;innovative;finger
select;p19;innovative;lower
select;p19;innovative;staticpose
select;p19;innovative;motion
select;p19;innovative;direction
select;p19;innovative;3d
select;p19;innovative;intra
select;p19;innovative;twohands
select;p19;innovative;abstract
select;p19;innovative;3dworlddep
select;p19;innovative;handspecific
select;p19;innovative;discrete
select;p19;innovative;mirror
select;p20;innovative;inner
select;p20;innovative;finger
select;p20;innovative;staticpose
select;p20;innovative;motion
select;p20;innovative;2d
select;p20;innovative;interhand
select;p20;innovative;twohands
select;p20;innovative;metaphorical
select;p20;innovative;worldindep
select;p20;innovative;discrete
select;p20;innovative;handspecific
select;p20;innovative;mirror
select;p20;innovative;nondefault
select;p21;innovative;inner
select;p21;innovative;finger
select;p21;innovative;3d
select;p21;innovative;nondefault
select;p21;innovative;motion
select;p21;innovative;direction
select;p21;innovative;twohands
