
Emergency call;emergency
Scroll down;scrolldown
Maximize;maximize
Select;select
Zoom in;zoomin
Pause;pause
Close;close
Open;open
Zoom out;zoomout
Rewind;rewind
Play;play
Forward;forward
Switch task/window;switchtask
Scroll up;scrollup
Reject;reject
Shuffle;shuffle
Accept call;acceptcall
Previous;previous
Increase volume;increasevolume
Mute;mute
Decrease volume;decreasevolume
Next;next
Navigate;navigate
Reject call;rejectcallphone
Minimize;minimize
