2d,2
onehand,2
metaphorical,2
worldindep,2
transfer,2
continuous,2
diverse,2
p17_innovative_zoomin,1
inner,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p18_zoomin,1
inner,2
lower,2
finger,2
mixedpose,2
nondefault,2
motion,2
2d,2
onehand,2
metaphorical,2
worldindep,2
transfer,2
continuous,2
diverse,2
p18_innovative_zoomin,1
inner,2
lower,2
finger,2
mixedpose,2
nondefault,2
motion,2
2d,2
onehand,2
metaphorical,2
worldindep,2
transfer,2
continuous,2
diverse,2
p19_zoomin,1
inner,2
outer,2
finger,2
staticpose,2
nondefault,2
motion,2
rotation,2
2d,2
twohands,2
metaphorical,2
worldindep,2
handspecific,2
continuous,2
mirror,2
p19_innovative_zoomin,1
inner,2
finger,2
dynamicpose,2
nondefault,2
motion,2
direction,2
3d,2
twohands,2
metaphorical,2
3dworlddep,2
handspecific,2
continuous,2
mirror,2
p21_zoomin,1
inner,2
finger,2
dynamicpose,2
nondefault,2
motion,2
direction,2
3d,2
twohands,2
metaphorical,2
3dworlddep,2
handspecific,2
continuous,2
mirror,2
p21_innovative_zoomin,1
inner,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
screendep,2
transfer,2
discrete,2
diverse,2
p22_zoomin,1
inner,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
direction,2
3d,2
twohands,2
metaphorical,2
3dworlddep,2
handspecific,2
continuous,2
mirror,2
p22_innovative_zoomin,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
direction,2
2d,2
onehand,2
abstract,2
screendep,2
transfer,2
discrete,2
diverse,2
p23_zoomin,1
inner,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
direction,2
3d,2
twohands,2
metaphorical,2
3dworlddep,2
handspecific,2
continuous,2
diverse,2
p23_innovative_zoomin,1
staticpose,2
motion,2
direction,2
3d,2
onehand,2
metaphorical,2
3dworlddep,2
handspecific,2
discrete,2
diverse,2
p20_innovative_zoomin,1
dynamicpose,2
motion,2
direction,2
3d,2
onehand,2
metaphorical,2
3dworlddep,2
handspecific,2
discrete,2
diverse,2
p20_zoomin,1
zoomin,0
inner,2
p04_select,1
inner,2
outer,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
handspecific,2
discrete,2
diverse,2
p04_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p05_select,1
inner,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
repetitive,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p05_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
repetitive,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p06_select,1
inner,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
screendep,2
handspecific,2
discrete,2
diverse,2
p06_innovative_select,1
inner,2
finger,2
staticpose,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
P07_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p08_select,1
inner,2
outer,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p08_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p09_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
direction,2
3d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p09_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
screendep,2
transfer,2
discrete,2
diverse,2
p10_select,1
inner,2
outer,2
lower,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p10_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p11_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p11_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
screendep,2
transfer,2
discrete,2
diverse,2
P12_select,1
inner,2
outer,2
lower,2
finger,2
mixedpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
screendep,2
handspecific,2
discrete,2
diverse,2
P12_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p13_select,1
inner,2
outer,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p13_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p14_select,1
inner,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
P15_select,1
inner,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
P15_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
repetitive,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p16_select,1
inner,2
lower,2
finger,2
mixedpose,2
nondefault,2
motion,2
2d,2
onehand,2
metaphorical,2
handdep,2
handspecific,2
discrete,2
diverse,2
p16_innovative_select,1
inner,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p17_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p18_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
transfer,2
discrete,2
diverse,2
p18_innovative_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p19_select,1
inner,2
lower,2
finger,2
staticpose,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p19_innovative_select,1
inner,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p20_select,1
inner,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p20_innovative_select,1
inner,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p21_select,1
inner,2
finger,2
staticpose,2
nondefault,2
motion,2
direction,2
3d,2
twohands,2
metaphorical,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p21_innovative_select,1
inner,2
lower,2
finger,2
mixedpose,2
nondefault,2
motion,2
repetitive,2
2d,2
onehand,2
abstract,2
worldindep,2
handspecific,2
discrete,2
diverse,2
p22_select,1
inner,2
outer,2
lower,2
finger,2
mixedpose,2
nondefault,2
motion,2
2d,2
onehand,2
abstract,2
worldindep,2
handspecific,2
discrete,2
diverse,2
p22_innovative_select,1
inner,2
outer,2
lower,2
finger,2
dynamicpose,2
nondefault,2
motion,2
2d,2
twohands,2
metaphorical,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p23_innovative_select,1
outer,2
finger,2
staticpose,2
nondefault,2
motion,2
2d,2
twohands,2
abstract,2
worldindep,2
handspecific,2
discrete,2
mirror,2
P07_innovative_select,1
select,0
inner,2
p04_minimize,1
inner,2
finger,2
dynamicpose,2
nondefault,2
stationary,2
onehand,2
metaphorical,2
worldindep,2
handspecific,2
discrete,2
mirror,2
p04_innovative_minimize,1
inner,2
lower,2
finger,2
mixedpose,2
nondefault,2
stationary,2
onehand,2
metaphorical,2
worldindep,2
transfer,2
discrete,2
diverse,2
p05_minimize,1
inner,2
outer,2
lower,2
finger,2
mixedpose,2
nondefault,2
stationary,2
onehand,2
metaphorical,2
worldindep,2
transfer,2
discrete,2
diverse,2
p05_innovative_minimize,1
inner,2
lower,2
finger,2
dynamicpose,2
nondefault,2
motion,2
direction,2
3d,2
twohands,2
metaphorical,2
3dworlddep,2
handspecific,2
discrete,2
mirror,2
p06_minimize,1
minimize,0
inner,2
p08_emergency,1
emergency,0
2d,2
p05_innovative_open,1
open,0
