accept;p04;;inner
accept;p04;;lower
accept;p04;;finger
accept;p04;;outer
accept;p04;;stationary
accept;p04;;staticpose
accept;p04;;symbolic
accept;p04;;handspecific
accept;p04;;discrete
accept;p04;;diverse
accept;p04;;nondefault
accept;p04;;worldindep
decreasevolume;p04;;inner
decreasevolume;p04;;outer
decreasevolume;p04;;lower
decreasevolume;p04;;finger
decreasevolume;p04;;staticpose
decreasevolume;p04;;nondefault
decreasevolume;p04;;motion
decreasevolume;p04;;direction
decreasevolume;p04;;2d
decreasevolume;p04;;interhand
decreasevolume;p04;;twohands
decreasevolume;p04;;abstract
decreasevolume;p04;;handspecific
decreasevolume;p04;;discrete
decreasevolume;p04;;diverse
forward;p04;;inner
forward;p04;;lower
forward;p04;;finger
forward;p04;;staticpose
forward;p04;;nondefault
forward;p04;;direction
forward;p04;;motion
forward;p04;;2d
forward;p04;;intrahand
forward;p04;;twohands
forward;p04;;metaphorical
forward;p04;;screendep
forward;p04;;handspecific
forward;p04;;discrete
forward;p04;;mirror
select;p04;innovative;outer
select;p04;innovative;lower
select;p04;innovative;finger
select;p04;innovative;mixedpose
select;p04;innovative;nondefault
select;p04;innovative;stationary
select;p04;innovative;abstract
select;p04;innovative;handspecific
select;p04;innovative;discrete
select;p04;innovative;diverse
minimize;p04;innovative;finger
minimize;p04;innovative;inner
minimize;p04;innovative;dynamicpose
minimize;p04;innovative;metaphorical
minimize;p04;innovative;handdep
minimize;p04;innovative;mirror
minimize;p04;innovative;nondefault
navigate;p04;innovative;inner
navigate;p04;innovative;lower
navigate;p04;innovative;finger
navigate;p04;innovative;dynamicpose
navigate;p04;innovative;motion
navigate;p04;innovative;2d
navigate;p04;innovative;intrahand
navigate;p04;innovative;abstract
navigate;p04;innovative;twohands
navigate;p04;innovative;handspecific
navigate;p04;innovative;continuous
navigate;p04;innovative;mirror
navigate;p04;innovative;nondefault
maximize;p04;innovative;finger
maximize;p04;innovative;dynamicpose
maximize;p04;innovative;nondefault
maximize;p04;innovative;stationary
maximize;p04;innovative;abstract
maximize;p04;innovative;worldindep
maximize;p04;innovative;handspecific
maximize;p04;innovative;discrete
maximize;p04;innovative;mirror
select;p04;innovative;inner
select;p04;innovative;worldindep
minimize;p04;innovative;stationary
minimize;p04;innovative;transfer
minimize;p04;innovative;discrete
accept;p04;innovative;inner
accept;p04;innovative;outer
accept;p04;innovative;lower
accept;p04;innovative;finger
accept;p04;innovative;staticpose
accept;p04;innovative;stationary
accept;p04;innovative;symbolic
accept;p04;innovative;handspecific
accept;p04;innovative;discrete
accept;p04;innovative;diverse
accept;p04;innovative;nondefault
accept;p04;innovative;worldindep
reject;p04;innovative;inner
reject;p04;innovative;outer
reject;p04;innovative;finger
reject;p04;innovative;nondefault
reject;p04;innovative;staticpose
reject;p04;innovative;stationary
reject;p04;innovative;symbolic
reject;p04;innovative;worldindep
reject;p04;innovative;handspecific
reject;p04;innovative;discrete
reject;p04;innovative;mirror
zoomin;p04;innovative;inner
zoomin;p04;innovative;finger
zoomin;p04;innovative;nondefault
zoomin;p04;innovative;dynamicpose
zoomin;p04;innovative;stationary
zoomin;p04;innovative;metaphorical
zoomin;p04;innovative;worldindep
zoomin;p04;innovative;discrete
zoomin;p04;innovative;transfer
zoomin;p04;innovative;mirror
zoomout;p04;innovative;inner
zoomout;p04;innovative;finger
zoomout;p04;innovative;dynamicpose
zoomout;p04;innovative;nondefault
zoomout;p04;innovative;motion
zoomout;p04;innovative;2d
zoomout;p04;innovative;interhand
zoomout;p04;innovative;metaphorical
zoomout;p04;innovative;twohands
zoomout;p04;innovative;worldindep
zoomout;p04;innovative;discrete
zoomout;p04;innovative;handspecific
zoomout;p04;innovative;mirror
rejectcallphone;p04;innovative;inner
rejectcallphone;p04;innovative;finger
rejectcallphone;p04;innovative;staticpose
rejectcallphone;p04;innovative;nondefault
rejectcallphone;p04;innovative;stationary
rejectcallphone;p04;innovative;symbolic
rejectcallphone;p04;innovative;worldindep
rejectcallphone;p04;innovative;handspecific
rejectcallphone;p04;innovative;discrete
rejectcallphone;p04;innovative;mirror
scrollup;p04;innovative;inner
scrollup;p04;innovative;lower
scrollup;p04;innovative;finger
scrollup;p04;innovative;staticpose
scrollup;p04;innovative;nondefault
scrollup;p04;innovative;motion
scrollup;p04;innovative;direction
scrollup;p04;innovative;2d
scrollup;p04;innovative;intrahand
scrollup;p04;innovative;twohands
scrollup;p04;innovative;metaphorical
scrollup;p04;innovative;worldindep
scrollup;p04;innovative;handspecific
scrollup;p04;innovative;discrete
scrollup;p04;innovative;mirror
pause;p04;innovative;inner
pause;p04;innovative;finger
pause;p04;innovative;staticpose
pause;p04;innovative;stationary
pause;p04;innovative;abstract
pause;p04;innovative;worldindep
pause;p04;innovative;discrete
pause;p04;innovative;handspecific
pause;p04;innovative;mirror
pause;p04;innovative;nondefault
forward;p04;innovative;inner
forward;p04;innovative;lower
forward;p04;innovative;finger
forward;p04;innovative;staticpose
forward;p04;innovative;nondefault
forward;p04;innovative;motion
forward;p04;innovative;direction
forward;p04;innovative;2d
forward;p04;innovative;intrahand
forward;p04;innovative;twohands
forward;p04;innovative;metaphorical
forward;p04;innovative;handspecific
forward;p04;innovative;discrete
forward;p04;innovative;mirror
forward;p04;innovative;screendep
decreasevolume;p04;innovative;inner
decreasevolume;p04;innovative;outer
decreasevolume;p04;innovative;finger
decreasevolume;p04;innovative;lower
decreasevolume;p04;innovative;nondefault
decreasevolume;p04;innovative;staticpose
decreasevolume;p04;innovative;motion
decreasevolume;p04;innovative;direction
